lon,lat,source,country,substance,area_ha
-51.6576,-17.9345,ANM,BR,BASALTO,46.09
-53.1975,-18.5392,ANM,BR,BASALTO,35
-51.3385,-26.8371,ANM,BR,BASALTO,5
-49.3925,-28.5087,ANM,BR,DIABÁSIO,5
-47.4874,-20.5865,ANM,BR,BASALTO,15
-47.44,-21.756,ANM,BR,BASALTO,16.25
-53.5264,-24.2709,ANM,BR,BASALTO P/ BRITA,35.75
-51.5411,-28.8057,ANM,BR,BASALTO,1.99
-54.0727,-24.5753,ANM,BR,BASALTO P/ BRITA,4.9
-53.2487,-29.0956,ANM,BR,BASALTO,10.83
-51.5077,-28.7629,ANM,BR,BASALTO,19.26
-52.5208,-23.6574,ANM,BR,BASALTO,28.75
-46.9671,-21.0369,ANM,BR,BASALTO,49
-48.2935,-18.8261,ANM,BR,BASALTO,50
-54.767,-20.4288,ANM,BR,BASALTO,58.8
-50.5696,-27.2808,ANM,BR,BASALTO,19.97
-51.8414,-28.5666,ANM,BR,BASALTO,2
-52.7959,-26.3213,ANM,BR,BASALTO,0.62
-52.5373,-23.6625,ANM,BR,BASALTO,29.25
-42.7498,-6.089,ANM,BR,DIABÁSIO P/ BRITA,50
-50.5525,-24.1197,ANM,BR,DIABÁSIO,49
-53.5334,-26.7133,ANM,BR,BASALTO,50
-50.1233,-27.6197,ANM,BR,BASALTO,5
-50.8201,-27.95,ANM,BR,BASALTO,49.95
-51.8363,-28.606,ANM,BR,BASALTO,26.56
-54.2718,-24.7895,ANM,BR,BASALTO,16.03
-53.4714,-24.9988,ANM,BR,BASALTO P/ BRITA,37.84
-47.3202,-20.5798,ANM,BR,BASALTO,25.94
-54.1439,-24.3533,ANM,BR,BASALTO,13.73
-53.2162,-17.8576,ANM,BR,BASALTO,49.18
-52.6955,-27.623,ANM,BR,BASALTO,2.28
-51.6556,-28.8267,ANM,BR,BASALTO,1.92
-54.5075,-27.8791,ANM,BR,BASALTO,22.06
-51.4265,-23.4377,ANM,BR,BASALTO,19.4
-50.6765,-21.6033,ANM,BR,BASALTO,11.6
-52.8166,-26.3017,ANM,BR,BASALTO,38.98
-48.2172,-21.2106,ANM,BR,BASALTO,49
-52.3492,-27.2486,ANM,BR,BASALTO,5
-54.7926,-22.1141,ANM,BR,BASALTO,50
-50.7497,-28.0454,ANM,BR,BASALTO,11.97
-51.2789,-23.7423,ANM,BR,BASALTO,50
-51.846,-28.5936,ANM,BR,BASALTO,0.21
-51.3292,-29.1821,ANM,BR,BASALTO,7.1
-50.6475,-24.0887,ANM,BR,DIABÁSIO,49
-49.6297,-19.9879,ANM,BR,BASALTO,50
-56.4637,-14.3514,ANM,BR,BASALTO,20
-51.9245,-30.0978,ANM,BR,DIABÁSIO,1290.96
-49.597,-22.8859,ANM,BR,BASALTO,39.76
-52.1338,-26.477,ANM,BR,BASALTO,22.43
-52.9983,-26.8193,ANM,BR,BASALTO,4.15
-50.9133,-27.9902,ANM,BR,BASALTO,3
-46.93,-22.4928,ANM,BR,DIABÁSIO,47.28
-48.5674,-22.2303,ANM,BR,BASALTO,49.43
-48.5731,-22.4545,ANM,BR,BASALTO,29.99
-52.1768,-30.3426,ANM,BR,BASALTO,9.99
-52.8526,-29.5429,ANM,BR,BASALTO,18.9
-50.1888,-23.9161,ANM,BR,DIABÁSIO,49
-52.9371,-17.3692,ANM,BR,BASALTO,50
-50.8837,-26.4686,ANM,BR,BASALTO,2.12
-48.5627,-22.2382,ANM,BR,BASALTO,43.72
-50.9144,-21.4687,ANM,BR,BASALTO,50
-51.3573,-25.9859,ANM,BR,BASALTO,5.41
-51.8588,-28.6192,ANM,BR,BASALTO,1.8
-53.4784,-26.744,ANM,BR,BASALTO,8.98
-43.0222,-6.8564,ANM,BR,DIABÁSIO,46.86
-53.7692,-24.7527,ANM,BR,BASALTO,35.35
-54.2584,-25.1753,ANM,BR,BASALTO,12
-50.703,-24.5753,ANM,BR,DIABÁSIO,48.27
-51.5798,-29.1708,ANM,BR,BASALTO,3.3
-50.1662,-23.2722,ANM,BR,BASALTO,45.15
-48.3007,-18.7995,ANM,BR,BASALTO,49.99
-51.8274,-28.5869,ANM,BR,BASALTO,1.9
-49.2053,-21.829,ANM,BR,BASALTO,50
-53.2173,-26.7598,ANM,BR,BASALTO,24.25
-53.3767,-26.0005,ANM,BR,BASALTO,7.57
-51.5502,-28.7779,ANM,BR,BASALTO,2
-51.3387,-29.6558,ANM,BR,BASALTO,29.26
-50.0472,-26.4403,ANM,BR,DIABÁSIO,29.39
-52.4353,-25.3842,ANM,BR,BASALTO,49.51
-49.8509,-29.3904,ANM,BR,BASALTO,11.87
-48.4294,-22.7903,ANM,BR,BASALTO,30.58
-43.5676,-6.6813,ANM,BR,DIABÁSIO,34
-54.876,-20.4472,ANM,BR,BASALTO,10.88
-54.2593,-24.7858,ANM,BR,BASALTO,37.5
-50.9988,-28.6909,ANM,BR,BASALTO,1.83
-50.4919,-22.6044,ANM,BR,BASALTO,160.69
-47.9246,-19.699,ANM,BR,BASALTO,903.42
-49.2391,-21.8766,ANM,BR,BASALTO,255.25
-50.1779,-20.4637,ANM,BR,BASALTO P/ BRITA,49.6
-50.4083,-17.0837,ANM,BR,BASALTO,8.15
-51.413,-29.2074,ANM,BR,BASALTO,49.95
-51.4528,-29.2721,ANM,BR,BASALTO,18
-53.9845,-25.2564,ANM,BR,BASALTO,49
-51.9579,-23.4759,ANM,BR,BASALTO,30.53
-48.3289,-18.8837,ANM,BR,BASALTO P/ BRITA,206.4
-50.5445,-26.6664,ANM,BR,BASALTO,5
-50.7816,-25.9176,ANM,BR,BASALTO,25
-52.479,-28.3085,ANM,BR,BASALTO,2
-38.7724,-4.4653,ANM,BR,GABRO,11
-52.802,-27.0914,ANM,BR,BASALTO,17.2
-51.8247,-26.9489,ANM,BR,BASALTO,49.92
-51.749,-27.4145,ANM,BR,BASALTO,4.41
-51.0924,-23.044,ANM,BR,BASALTO,49.48
-53.5834,-25.1515,ANM,BR,BASALTO,37.35
-51.8105,-28.5623,ANM,BR,BASALTO,0.33
